t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
1.73, 1038, 177, 2.466908138580443, 62.507999999999996, 0.0012463974271879426
1.75, 1037, 177, 2.4702638239613335, 62.507999999999996, 0.0009587672516830326
1.76, 1036, 178, 2.471318467938185, 62.507999999999996, 0.0009587672516830326
1.77, 1036, 178, 2.4723731119150365, 62.507999999999996, 0.0008628905265147294
1.79, 1035, 179, 2.472948372266046, 62.507999999999996, 0.0009587672516830326
1.8, 1034, 179, 2.473619509342224, 62.507999999999996, 0.0007670138013464262
1.81, 1034, 180, 2.474194769693234, 62.507999999999996, 0.0009587672516830326
1.8199999999999998, 1033, 180, 2.474770030044244, 62.507999999999996, 0.0007670138013464262
1.83, 1033, 180, 2.475345290395254, 62.507999999999996, 0.0007670138013464262
1.8399999999999999, 1032, 181, 2.475441167120422, 62.507999999999996, 0.0007670138013464262
1.85, 1032, 181, 2.475441167120422, 62.507999999999996, 0.0007670138013464262
1.8599999999999999, 1031, 182, 2.475824674021095, 62.507999999999996, 0.0007670138013464262
1.87, 1031, 182, 2.4770710714482833, 62.507999999999996, 0.0007670138013464262
1.88, 1031, 182, 2.4787009757761442, 62.507999999999996, 0.0006711370761781229
1.8900000000000001, 1030, 183, 2.479851496478164, 62.507999999999996, 0.0006711370761781229
1.9, 1030, 183, 2.4807143870046784, 62.507999999999996, 0.0006711370761781229
1.9100000000000001, 1029, 183, 2.4807143870046784, 62.507999999999996, 0.0004793836258415163
1.92, 1029, 184, 2.4806185102795104, 62.507999999999996, 0.0007670138013464262
1.9300000000000002, 1028, 184, 2.4805226335543424, 62.507999999999996, 0.0005752603510098196
1.94, 1028, 185, 2.4803308801040056, 62.507999999999996, 0.0008628905265147294
1.95, 1027, 185, 2.4802350033788376, 62.507999999999996, 0.0005752603510098196
1.96, 1027, 185, 2.4802350033788376, 62.507999999999996, 0.0005752603510098196
1.99, 1025, 187, 2.4819607844318665, 62.507999999999996, 0.0006711370761781229
2.0, 1025, 187, 2.4827277982332134, 62.507999999999996, 0.0006711370761781229
2.01, 1024, 187, 2.483590688759728, 62.507999999999996, 0.0003835069006732131
2.02, 1024, 188, 2.4841659491107375, 62.507999999999996, 0.0006711370761781229
2.03, 1023, 188, 2.4850288396372524, 62.507999999999996, 0.0003835069006732131
2.04, 1023, 188, 2.4856999767134305, 62.507999999999996, 0.0003835069006732131
2.05, 1022, 189, 2.4859876068889357, 62.507999999999996, 0.0003835069006732131
2.06, 1022, 189, 2.4863711137896085, 62.507999999999996, 0.0003835069006732131
2.07, 1021, 190, 2.4865628672399454, 62.507999999999996, 0.0004793836258415163
2.08, 1021, 190, 2.487329881041292, 62.507999999999996, 0.0004793836258415163
2.09, 1020, 190, 2.487809264667133, 62.507999999999996, 0.0002876301755049098
2.11, 1019, 191, 2.488672155193648, 62.507999999999996, 0.0002876301755049098
2.14, 1018, 192, 2.489247415544658, 62.507999999999996, 0.0002876301755049098
2.15, 1017, 193, 2.489630922445331, 62.507999999999996, 0.0003835069006732131
2.16, 1017, 193, 2.489535045720163, 62.507999999999996, 0.0003835069006732131
